loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
LN0001085,3,2018-05,2018-02,3,357,168618,168052.42,5.36,Poor,<=60,28-36,GA,Refinance,PrimaryResidence,MultiUnit,ServicerD,30DPD,35,0,0,0,Low,2018-05-01,PRIMARY,Waived,1,1,1,0,60DPD,0,
LN0002003,10,2020-02,2019-04,10,350,170212,168116.96,5.79,Poor,75-90,<=28,CA,Refinance,SecondHome,SingleFamily,ServicerA,30DPD,35,0,0,0,Low,2020-02-01,PRIMARY,Complete,1,1,1,0,60DPD,0,
LN0003603,2,2018-05,2018-03,2,358,214296,213649.09,4.44,Good,60-75,28-36,GA,Purchase,Investment,SingleFamily,ServicerC,Current,0,0,0,0,Low,2018-05-01,PRIMARY,Complete,0,0,0,1,Current,0,
LN0000116,14,2023-03,2022-01,14,346,125824,123582.66,5.91,Poor,>90,28-36,IL,Refinance,PrimaryResidence,SingleFamily,ServicerB,60DPD,65,0,0,0,Medium,2023-03-01,PRIMARY,Pending,1,1,1,0,90DPD,0,
LN0002998,18,2022-09,2021-03,18,342,143993,140717.13,3.94,,60-75,28-36,NY,Refinance,PrimaryResidence,MultiUnit,ServicerA,Current,0,0,0,0,Low,2022-09-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0002687,13,2021-08,2020-07,13,347,262503,257692.28,4.54,Excellent,60-75,36-43,TX,Refinance,Investment,SingleFamily,ServicerA,Current,0,0,0,0,Low,2021-08-01,PRIMARY,Complete,1,1,0,0,Current,0,
LN0001836,7,2022-05,2021-10,7,353,307304,304026.49,4.52,,<=60,>43,CA,Refinance,PrimaryResidence,Condo,ServicerC,Current,0,0,0,0,Low,2022-05-01,PRIMARY,Waived,0,0,0,1,Current,0,
LN0001361,23,2021-02,2019-03,23,337,75245,73140.1,4.69,Fair,,36-43,WA,Purchase,PrimaryResidence,MultiUnit,ServicerD,Current,0,0,0,0,Low,2021-02-01,PRIMARY,Complete,0,0,0,1,Current,0,
LN0004121,4,2019-09,2019-05,4,356,327037,325339.86,5.64,,75-90,28-36,FL,Purchase,Investment,Condo,ServicerB,60DPD,65,0,0,0,Medium,2019-09-01,PRIMARY,Waived,0,0,0,1,Current,0,
LN0003010,8,2023-04,2022-08,8,352,198357,197400.84,4.98,Fair,75-90,28-36,AZ,Refinance,PrimaryResidence,Townhouse,ServicerA,Current,0,0,0,0,Low,2023-04-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0001219,8,2019-05,2018-09,8,352,186826,184462.64,4.84,Fair,<=60,28-36,OH,Refinance,PrimaryResidence,SingleFamily,ServicerB,Current,0,0,0,0,Low,2019-05-01,PRIMARY,Waived,0,0,0,0,Current,0,
LN0000269,18,2022-09,2021-03,18,342,99299,97880.97,4.87,Excellent,>90,36-43,FL,Refinance,PrimaryResidence,SingleFamily,ServicerB,Current,0,0,0,0,Low,2022-09-01,PRIMARY,Complete,1,1,0,1,Current,0,
LN0002056,1,2019-11,2019-10,1,359,104667,104517.09,4.0,Good,60-75,28-36,NV,Purchase,SecondHome,SingleFamily,ServicerB,Current,0,0,0,0,Low,2019-11-01,PRIMARY,Complete,0,1,0,1,Current,0,
LN0001111,11,2021-01,2020-02,11,349,155794,153790.63,3.98,Excellent,,28-36,TX,Purchase,Investment,MultiUnit,ServicerC,Current,0,0,0,0,Low,2021-01-01,PRIMARY,Pending,0,0,0,1,Current,0,
LN0001519,1,2022-12,2022-11,1,359,96972,96839.41,3.62,Excellent,60-75,<=28,NV,Refinance,PrimaryResidence,MultiUnit,ServicerA,Current,0,0,0,0,Low,2022-12-01,PRIMARY,Incomplete,0,0,0,1,Prepaid,0,
LN0003823,11,2022-08,2021-09,11,349,245194,241894.47,4.36,Good,75-90,28-36,CA,Purchase,PrimaryResidence,SingleFamily,ServicerD,Current,0,0,0,0,Low,2022-08-01,PRIMARY,Incomplete,0,0,0,0,Current,0,
LN0004822,12,2022-11,2021-11,12,348,123095,120870.68,4.42,Good,>90,28-36,AZ,Purchase,PrimaryResidence,MultiUnit,ServicerD,Current,0,0,0,0,Low,2022-11-01,PRIMARY,Complete,0,1,1,0,Current,0,
LN0003056,18,2019-10,2018-04,18,342,105081,102115.03,5.27,Good,75-90,<=28,WA,Purchase,PrimaryResidence,SingleFamily,ServicerB,Current,0,0,0,0,Low,2019-10-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0000136,4,2020-09,2020-05,4,356,163101,162171.1,3.96,Excellent,60-75,<=28,NV,Purchase,Investment,SingleFamily,ServicerB,Current,0,0,0,0,Low,2020-09-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0003841,5,2022-10,2022-05,5,355,202617,201057.13,4.61,Fair,<=60,<=28,AZ,Purchase,PrimaryResidence,SingleFamily,ServicerB,Current,0,0,0,0,Low,2022-10-01,PRIMARY,Complete,0,1,0,0,Current,0,
LN0003930,2,2020-04,2020-02,2,358,230153,229318.84,6.07,Poor,,28-36,WA,Refinance,PrimaryResidence,Condo,ServicerB,Current,0,0,0,0,Low,2020-04-01,PRIMARY,Complete,1,1,0,0,30DPD,0,
LN0000436,2,2018-12,2018-10,2,358,422089,420778.57,4.68,Excellent,<=60,>43,TX,Refinance,PrimaryResidence,SingleFamily,ServicerB,Current,0,0,0,0,Low,2018-12-01,PRIMARY,Incomplete,0,0,0,1,Current,0,
LN0001331,1,2018-09,2018-08,1,359,234617,234239.59,4.99,Fair,60-75,36-43,TX,Refinance,PrimaryResidence,SingleFamily,ServicerD,Current,0,0,0,0,Low,2018-09-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0000127,1,2022-01,2021-12,1,359,129238,129023.9,5.25,Good,60-75,<=28,WA,Refinance,PrimaryResidence,SingleFamily,ServicerC,Current,0,0,0,0,Low,2022-01-01,PRIMARY,Pending,0,0,0,0,Current,0,
LN0003062,15,2023-03,2021-12,15,345,119576,117840.55,4.11,Good,60-75,>43,NY,Purchase,PrimaryResidence,Townhouse,ServicerC,90DPD,95,0,0,0,Medium,2023-03-01,PRIMARY,Pending,1,1,1,0,90DPD,0,
LN0002804,2,2022-11,2022-09,2,358,202910,202282.96,4.64,Good,60-75,<=28,FL,CashOut,PrimaryResidence,SingleFamily,ServicerD,Current,0,0,0,0,Low,2022-11-01,PRIMARY,Complete,0,0,0,1,Current,0,
LN0004158,25,2020-07,2018-06,25,335,124921,120507.39,4.59,Excellent,<=60,>43,CA,Purchase,PrimaryResidence,SingleFamily,ServicerC,Current,0,0,0,0,Low,2020-07-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0001072,9,2021-03,2020-06,9,351,141823,140183.91,5.22,Fair,<=60,<=28,AZ,CashOut,PrimaryResidence,SingleFamily,ServicerA,Current,0,0,0,0,Low,2021-03-01,PRIMARY,Incomplete,0,0,0,1,Current,0,
LN0001700,12,2019-04,2018-04,12,348,104080,102315.14,4.62,Fair,75-90,36-43,WA,Purchase,PrimaryResidence,SingleFamily,ServicerB,Current,0,0,0,0,Low,2019-04-01,PRIMARY,Incomplete,1,1,0,0,Current,0,
LN0001635,15,2023-12,2022-09,15,345,210794,207505.1,5.66,Poor,75-90,28-36,FL,Purchase,PrimaryResidence,SingleFamily,ServicerA,Current,0,0,0,0,Low,2023-12-01,PRIMARY,Complete,0,1,1,0,Current,0,
LN0000825,16,2020-05,2019-01,16,344,247395,240926.48,5.71,Fair,60-75,28-36,GA,Refinance,PrimaryResidence,Townhouse,ServicerA,Current,0,0,0,0,Low,2020-05-01,PRIMARY,Incomplete,0,1,0,0,Current,0,
LN0002492,19,2023-11,2030-01,19,341,227954,221758.25,3.99,Good,>90,28-36,OH,Purchase,PrimaryResidence,SingleFamily,ServicerC,Current,0,0,0,0,Low,2023-11-01,PRIMARY,Pending,1,1,1,0,Current,0,
LN0001140,3,2020-11,2020-08,3,357,144773,144289.02,5.33,Fair,60-75,<=28,NV,Refinance,PrimaryResidence,SingleFamily,ServicerC,30DPD,35,0,0,0,Low,2020-11-01,PRIMARY,Complete,0,0,0,0,Current,0,
LN0001896,23,2020-09,2018-10,23,337,424698,410993.42,3.83,Excellent,<=60,<=28,IL,Purchase,SecondHome,Townhouse,ServicerC,Current,0,0,0,0,,2020-09-01,PRIMARY,Incomplete,0,0,0,1,Current,0,
LN0003689,3,2020-09,2020-06,3,357,117093,116693.21,5.52,Fair,,28-36,CA,Purchase,PrimaryResidence,SingleFamily,ServicerC,30DPD,35,0,0,0,Low,2020-09-01,PRIMARY,Complete,1,1,0,1,Current,0,
LN0001080,3,2021-08,2021-05,3,357,232476,231374.45,4.83,Good,>90,36-43,FL,Purchase,PrimaryResidence,Condo,ServicerC,Current,0,0,0,0,Low,2021-08-01,PRIMARY,Incomplete,1,1,0,0,Current,0,
LN0000966,4,2018-05,2018-01,4,356,130523,129706.9,4.74,Good,60-75,<=28,OH,Purchase,PrimaryResidence,SingleFamily,ServicerC,Current,0,0,0,0,Low,2018-05-01,PRIMARY,Incomplete,0,0,0,0,Current,0,
LN0004654,12,2020-06,2019-06,12,348,62519,61473.64,4.5,Excellent,75-90,36-43,CA,Refinance,SecondHome,SingleFamily,ServicerB,Current,0,0,0,0,Low,2020-06-01,PRIMARY,Incomplete,1,1,0,0,Current,0,
LN0001494,22,2020-11,2019-01,22,338,99248,96245.61,4.9,Fair,<=60,<=28,NV,Purchase,PrimaryResidence,SingleFamily,ServicerD,Current,0,0,0,0,Low,2020-11-01,PRIMARY,Complete,0,0,0,1,Prepaid,0,
LN0003998,7,2022-09,2022-02,7,353,263931,261171.85,4.35,Good,60-75,28-36,TX,Purchase,PrimaryResidence,SingleFamily,ServicerD,Current,0,0,0,0,Low,2022-09-01,PRIMARY,Complete,0,1,0,0,Current,0,
LN0000477,11,2019-06,2018-07,11,349,216369,213225.76,5.02,Good,60-75,28-36,TX,Refinance,PrimaryResidence,Condo,ServicerC,Current,0,0,0,0,Low,2019-06-01,PRIMARY,Pending,0,0,0,0,Current,0,
LN0004479,25,2023-03,2021-02,25,335,208063,200965.72,4.67,Fair,60-75,<=28,AZ,Purchase,PrimaryResidence,SingleFamily,ServicerB,Closed,0,0,0,0,Low,2023-03-01,PRIMARY,Complete,0,0,0,0,Closed,0,
LN0004758,10,2021-11,2021-01,10,350,175858,173947.93,6.06,Poor,60-75,>43,TX,Refinance,PrimaryResidence,SingleFamily,ServicerA,Current,0,0,0,0,Low,2021-11-01,PRIMARY,Complete,1,1,1,0,30DPD,0,
LN0002810,16,2023-04,2021-12,16,344,201189,0.0,4.44,Excellent,<=60,28-36,NY,Refinance,PrimaryResidence,Townhouse,ServicerB,Prepaid,0,0,1,0,Low,2023-04-01,PRIMARY,Incomplete,0,0,0,0,Prepaid,0,
LN0003481,16,2023-11,2022-07,16,344,258306,253213.77,3.86,Good,<=60,28-36,AZ,Purchase,SecondHome,SingleFamily,ServicerC,30DPD,35,0,0,0,Low,2023-11-01,PRIMARY,Complete,0,1,0,0,Current,0,
LN0004610,1,2022-01,2021-12,1,359,128591,128369.54,5.6,Poor,60-75,>43,AZ,Purchase,PrimaryResidence,Condo,ServicerB,Current,0,0,0,0,Low,2022-01-01,PRIMARY,,0,1,1,0,Current,0,
LN0003370,4,2019-05,2019-01,4,356,113256,0.0,4.28,Good,<=60,36-43,CA,Refinance,PrimaryResidence,Condo,ServicerD,Prepaid,0,0,1,0,Low,2019-05-01,PRIMARY,Incomplete,0,0,0,0,Prepaid,0,
