loan_id,original_balance,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,vintage
LN0000001,406043,Fair,60-75,36-43,IL,Purchase,Investment,SingleFamily,2022
LN0000002,480278,Good,75-90,36-43,WA,Refinance,Investment,Townhouse,2022
LN0000003,234506,Poor,75-90,<=28,NY,CashOut,Investment,Condo,2020
LN0000004,107605,Fair,<=60,<=28,CA,CashOut,SecondHome,SingleFamily,2019
LN0000005,482270,Excellent,<=60,28-36,OH,Refinance,Investment,SingleFamily,2020
LN0000006,119482,Poor,60-75,<=28,TX,Purchase,PrimaryResidence,SingleFamily,2022
LN0000007,235386,Fair,75-90,28-36,OH,Purchase,PrimaryResidence,SingleFamily,2019
LN0000008,174841,Fair,75-90,>43,CA,Purchase,SecondHome,SingleFamily,2021
LN0000009,160281,Excellent,75-90,<=28,NV,Refinance,PrimaryResidence,SingleFamily,2022
LN0000010,291311,Good,60-75,28-36,FL,Refinance,PrimaryResidence,MultiUnit,2021
LN0000011,224634,Good,60-75,36-43,AZ,Purchase,PrimaryResidence,SingleFamily,2022
LN0000012,256945,Poor,60-75,28-36,CA,CashOut,PrimaryResidence,Condo,2022
LN0000013,132211,Fair,60-75,<=28,IL,Purchase,PrimaryResidence,SingleFamily,2018
LN0000014,182218,Fair,75-90,<=28,IL,Refinance,PrimaryResidence,SingleFamily,2019
LN0000015,135297,Good,<=60,>43,TX,CashOut,PrimaryResidence,SingleFamily,2018
LN0000016,179955,Excellent,60-75,<=28,IL,Refinance,PrimaryResidence,SingleFamily,2020
LN0000017,187328,Good,60-75,36-43,FL,Refinance,PrimaryResidence,Condo,2020
LN0000018,499894,Excellent,60-75,36-43,IL,Refinance,PrimaryResidence,SingleFamily,2018
LN0000019,174609,Fair,75-90,28-36,NY,Refinance,PrimaryResidence,MultiUnit,2020
LN0000020,68679,Fair,60-75,36-43,TX,Refinance,PrimaryResidence,Condo,2018
LN0000021,399330,Fair,>90,<=28,OH,Purchase,PrimaryResidence,SingleFamily,2020
LN0000022,248855,Good,75-90,28-36,WA,Purchase,Investment,SingleFamily,2019
LN0000023,186184,Poor,>90,28-36,AZ,Refinance,PrimaryResidence,Townhouse,2022
LN0000024,159754,Poor,75-90,>43,AZ,Refinance,Investment,SingleFamily,2021
LN0000025,123814,Fair,75-90,<=28,FL,Refinance,SecondHome,SingleFamily,2021
LN0000026,523883,Excellent,75-90,<=28,FL,Purchase,Investment,Condo,2022
LN0000027,204009,Good,60-75,>43,NV,Purchase,SecondHome,SingleFamily,2018
LN0000028,83376,Excellent,60-75,<=28,NY,Purchase,PrimaryResidence,Condo,2019
LN0000029,234185,Excellent,75-90,>43,CA,CashOut,PrimaryResidence,SingleFamily,2021
LN0000030,363336,Fair,<=60,36-43,WA,Purchase,PrimaryResidence,Condo,2021
LN0000031,214962,Fair,<=60,28-36,NV,Purchase,PrimaryResidence,SingleFamily,2018
LN0000032,126652,Poor,>90,36-43,FL,Purchase,PrimaryResidence,SingleFamily,2019
LN0000033,121111,Good,<=60,36-43,GA,Purchase,PrimaryResidence,MultiUnit,2019
LN0000034,125660,Good,60-75,<=28,NY,Purchase,PrimaryResidence,SingleFamily,2018
LN0000035,425418,Good,75-90,>43,NY,Refinance,PrimaryResidence,SingleFamily,2021
LN0000036,191792,Excellent,<=60,>43,IL,Purchase,PrimaryResidence,Condo,2018
LN0000037,85874,Excellent,>90,>43,TX,Purchase,PrimaryResidence,SingleFamily,2022
LN0000038,240883,Good,<=60,36-43,NY,Purchase,PrimaryResidence,SingleFamily,2020
LN0000039,213313,Excellent,>90,28-36,FL,Purchase,PrimaryResidence,Condo,2021
LN0000040,158824,Fair,75-90,28-36,AZ,Refinance,Investment,Townhouse,2020
LN0000041,119347,Good,60-75,<=28,FL,CashOut,PrimaryResidence,SingleFamily,2022
LN0000042,116780,Fair,<=60,28-36,AZ,Refinance,Investment,MultiUnit,2019
LN0000043,342256,Fair,60-75,36-43,CA,CashOut,PrimaryResidence,Condo,2020
LN0000044,224977,Good,60-75,36-43,IL,Purchase,PrimaryResidence,SingleFamily,2018
LN0000045,252539,Fair,60-75,28-36,FL,CashOut,PrimaryResidence,Condo,2022
LN0000046,224668,Fair,>90,28-36,IL,Purchase,PrimaryResidence,SingleFamily,2020
LN0000047,234179,Good,60-75,36-43,OH,Refinance,PrimaryResidence,Condo,2018
LN0000048,157283,Good,75-90,28-36,NV,Refinance,PrimaryResidence,Condo,2022
LN0000049,179348,Fair,<=60,>43,OH,Purchase,PrimaryResidence,SingleFamily,2022
LN0000050,355918,Excellent,>90,36-43,WA,Purchase,PrimaryResidence,SingleFamily,2018
LN0000051,403243,Excellent,60-75,<=28,WA,Purchase,PrimaryResidence,SingleFamily,2022
LN0000052,107899,Excellent,60-75,<=28,NV,Purchase,Investment,SingleFamily,2021
LN0000053,179130,Fair,75-90,36-43,NV,Purchase,PrimaryResidence,Townhouse,2019
LN0000054,302441,Fair,<=60,28-36,OH,CashOut,PrimaryResidence,MultiUnit,2021
LN0000055,509425,Fair,75-90,36-43,TX,Purchase,PrimaryResidence,MultiUnit,2021
LN0000056,484551,Fair,60-75,<=28,FL,Refinance,PrimaryResidence,SingleFamily,2020
LN0000057,133535,Good,60-75,<=28,FL,Refinance,SecondHome,SingleFamily,2021
LN0000058,376067,Good,60-75,28-36,FL,Purchase,PrimaryResidence,Condo,2018
LN0000059,204703,Excellent,75-90,36-43,NV,Purchase,PrimaryResidence,SingleFamily,2022
LN0000060,335108,Excellent,<=60,>43,TX,Purchase,PrimaryResidence,SingleFamily,2022
LN0000061,294825,Fair,<=60,>43,AZ,Purchase,PrimaryResidence,SingleFamily,2019
LN0000062,105663,Good,<=60,28-36,AZ,Purchase,PrimaryResidence,Townhouse,2020
LN0000063,261708,Good,60-75,36-43,WA,Purchase,PrimaryResidence,Condo,2019
LN0000064,328682,Fair,<=60,<=28,NY,Purchase,Investment,SingleFamily,2019
LN0000065,196795,Fair,>90,28-36,FL,Refinance,PrimaryResidence,Townhouse,2019
LN0000066,175754,Good,60-75,>43,GA,Refinance,PrimaryResidence,Condo,2022
LN0000067,90596,Good,75-90,28-36,GA,Purchase,PrimaryResidence,Condo,2021
LN0000068,279793,Good,60-75,>43,WA,Refinance,PrimaryResidence,SingleFamily,2022
LN0000069,220659,Excellent,60-75,<=28,WA,CashOut,PrimaryResidence,SingleFamily,2021
LN0000070,125355,Good,60-75,<=28,AZ,Purchase,Investment,SingleFamily,2021
LN0000071,168903,Excellent,60-75,28-36,OH,Purchase,PrimaryResidence,Condo,2018
LN0000072,214754,Good,60-75,>43,OH,Purchase,PrimaryResidence,SingleFamily,2022
LN0000073,150344,Poor,60-75,28-36,FL,Purchase,Investment,SingleFamily,2021
LN0000074,199055,Excellent,60-75,36-43,CA,Refinance,SecondHome,SingleFamily,2018
