month_index,scenario,default_hazard_multiplier,prepay_propensity_mult,rate_shift_pp,hpi_shock_pct,unemployment_shock
1,base,1.0,1.0,0.0,0.0,0.0
1,adverse_credit,2.0,0.8,0.5,-0.1,0.02
1,high_prepayment,0.8,2.5,-0.75,0.05,0.0
2,base,1.0,1.0,0.0,0.0,0.0
2,adverse_credit,2.0,0.8,0.5,-0.1,0.02
2,high_prepayment,0.8,2.5,-0.75,0.05,0.0
3,base,1.0,1.0,0.0,0.0,0.0
3,adverse_credit,2.0,0.8,0.5,-0.1,0.02
3,high_prepayment,0.8,2.5,-0.75,0.05,0.0
4,base,1.0,1.0,0.0,0.0,0.0
4,adverse_credit,2.0,0.8,0.5,-0.1,0.02
4,high_prepayment,0.8,2.5,-0.75,0.05,0.0
5,base,1.0,1.0,0.0,0.0,0.0
5,adverse_credit,2.0,0.8,0.5,-0.1,0.02
5,high_prepayment,0.8,2.5,-0.75,0.05,0.0
6,base,1.0,1.0,0.0,0.0,0.0
6,adverse_credit,2.0,0.8,0.5,-0.1,0.02
6,high_prepayment,0.8,2.5,-0.75,0.05,0.0
7,base,1.0,1.0,0.0,0.0,0.0
7,adverse_credit,2.0,0.8,0.5,-0.1,0.02
7,high_prepayment,0.8,2.5,-0.75,0.05,0.0
8,base,1.0,1.0,0.0,0.0,0.0
8,adverse_credit,2.0,0.8,0.5,-0.1,0.02
8,high_prepayment,0.8,2.5,-0.75,0.05,0.0
9,base,1.0,1.0,0.0,0.0,0.0
9,adverse_credit,2.0,0.8,0.5,-0.1,0.02
9,high_prepayment,0.8,2.5,-0.75,0.05,0.0
10,base,1.0,1.0,0.0,0.0,0.0
10,adverse_credit,2.0,0.8,0.5,-0.1,0.02
10,high_prepayment,0.8,2.5,-0.75,0.05,0.0
11,base,1.0,1.0,0.0,0.0,0.0
11,adverse_credit,2.0,0.8,0.5,-0.1,0.02
11,high_prepayment,0.8,2.5,-0.75,0.05,0.0
12,base,1.0,1.0,0.0,0.0,0.0
12,adverse_credit,2.0,0.8,0.5,-0.1,0.02
12,high_prepayment,0.8,2.5,-0.75,0.05,0.0
13,base,1.0,1.0,0.0,0.0,0.0
13,adverse_credit,2.0,0.8,0.5,-0.1,0.02
13,high_prepayment,0.8,2.5,-0.75,0.05,0.0
14,base,1.0,1.0,0.0,0.0,0.0
14,adverse_credit,2.0,0.8,0.5,-0.1,0.02
14,high_prepayment,0.8,2.5,-0.75,0.05,0.0
15,base,1.0,1.0,0.0,0.0,0.0
15,adverse_credit,2.0,0.8,0.5,-0.1,0.02
15,high_prepayment,0.8,2.5,-0.75,0.05,0.0
16,base,1.0,1.0,0.0,0.0,0.0
16,adverse_credit,2.0,0.8,0.5,-0.1,0.02
16,high_prepayment,0.8,2.5,-0.75,0.05,0.0
17,base,1.0,1.0,0.0,0.0,0.0
17,adverse_credit,2.0,0.8,0.5,-0.1,0.02
17,high_prepayment,0.8,2.5,-0.75,0.05,0.0
18,base,1.0,1.0,0.0,0.0,0.0
18,adverse_credit,2.0,0.8,0.5,-0.1,0.02
18,high_prepayment,0.8,2.5,-0.75,0.05,0.0
19,base,1.0,1.0,0.0,0.0,0.0
19,adverse_credit,2.0,0.8,0.5,-0.1,0.02
19,high_prepayment,0.8,2.5,-0.75,0.05,0.0
20,base,1.0,1.0,0.0,0.0,0.0
