loan_id,month_index,reporting_month,current_status,days_past_due,last_updated_at,servicer_name,source_system,conflict_flag
LN0000001,14,2024-02,60DPD,65,2024-02,ServicerC,SERVICER_FEED,1
LN0000002,16,2023-08,Default,120,2023-08,ServicerD,SERVICER_FEED,1
LN0000003,1,2020-06,30DPD,35,2020-06,ServicerA,SERVICER_FEED,1
LN0000004,13,2020-10,30DPD,35,2020-10,ServicerD,SERVICER_FEED,1
LN0000004,7,2020-04,90DPD,95,2020-04,ServicerD,SERVICER_FEED,1
LN0000005,1,2020-06,60DPD,65,2020-06,ServicerB,SERVICER_FEED,1
LN0000006,1,2022-11,30DPD,35,2022-11,ServicerA,SERVICER_FEED,1
LN0000007,8,2019-10,Prepaid,0,2019-10,ServicerA,SERVICER_FEED,1
LN0000008,8,2022-02,Prepaid,0,2022-02,ServicerC,SERVICER_FEED,1
LN0000009,22,2024-05,30DPD,35,2024-05,ServicerC,SERVICER_FEED,1
LN0000010,11,2022-09,90DPD,95,2022-09,ServicerC,SERVICER_FEED,1
LN0000010,6,2022-04,30DPD,35,2022-04,ServicerB,SERVICER_FEED,1
LN0000011,13,2023-06,Default,120,2023-06,ServicerC,SERVICER_FEED,1
LN0000012,3,2022-12,Default,120,2022-12,ServicerA,SERVICER_FEED,1
LN0000013,1,2018-05,Default,120,2018-05,ServicerD,SERVICER_FEED,1
LN0000014,5,2019-08,Default,120,2019-08,ServicerD,SERVICER_FEED,1
LN0000015,24,2020-09,Closed,0,2020-09,ServicerD,SERVICER_FEED,1
LN0000016,24,2022-11,Default,120,2022-11,ServicerC,SERVICER_FEED,1
LN0000017,8,2020-09,Default,120,2020-09,ServicerD,SERVICER_FEED,1
LN0000018,1,2018-04,Prepaid,0,2018-04,ServicerA,SERVICER_FEED,1
LN0000019,22,2022-08,Closed,0,2022-08,ServicerD,SERVICER_FEED,1
LN0000019,27,2023-01,90DPD,95,2023-01,ServicerD,SERVICER_FEED,1
LN0000020,30,2021-01,Closed,0,2021-01,ServicerB,SERVICER_FEED,1
LN0000020,1,2018-08,Default,120,2018-08,ServicerB,SERVICER_FEED,1
LN0000021,2,2020-03,Closed,0,2020-03,ServicerC,SERVICER_FEED,1
LN0000022,3,2020-02,90DPD,95,2020-02,ServicerD,SERVICER_FEED,1
LN0000023,2,2022-08,Default,120,2022-08,ServicerC,SERVICER_FEED,1
LN0000024,2,2021-07,60DPD,65,2021-07,ServicerD,SERVICER_FEED,1
LN0000025,5,2021-07,Closed,0,2021-07,ServicerD,SERVICER_FEED,1
LN0000026,7,2022-09,Closed,0,2022-09,ServicerA,SERVICER_FEED,1
LN0000027,3,2019-02,Default,120,2019-02,ServicerD,SERVICER_FEED,1
LN0000028,3,2019-07,90DPD,95,2019-07,ServicerA,SERVICER_FEED,1
LN0000029,5,2022-03,Prepaid,0,2022-03,ServicerC,SERVICER_FEED,1
LN0000030,4,2022-01,Default,120,2022-01,ServicerD,SERVICER_FEED,1
LN0000031,7,2018-09,90DPD,95,2018-09,ServicerD,SERVICER_FEED,1
LN0000032,7,2019-09,Default,120,2019-09,ServicerD,SERVICER_FEED,1
LN0000033,2,2019-04,60DPD,65,2019-04,ServicerA,SERVICER_FEED,1
LN0000034,1,2018-02,30DPD,35,2018-02,ServicerB,SERVICER_FEED,1
LN0000035,13,2022-05,90DPD,95,2022-05,ServicerC,SERVICER_FEED,1
LN0000036,25,2020-05,90DPD,95,2020-05,ServicerB,SERVICER_FEED,1
LN0000036,42,2021-10,Closed,0,2021-10,ServicerA,SERVICER_FEED,1
LN0000037,16,2023-07,30DPD,35,2023-07,ServicerC,SERVICER_FEED,1
LN0000038,7,2021-07,30DPD,35,2021-07,ServicerD,SERVICER_FEED,1
LN0000039,22,2023-08,Closed,0,2023-08,ServicerA,SERVICER_FEED,1
LN0000040,6,2020-12,90DPD,95,2020-12,ServicerD,SERVICER_FEED,1
LN0000041,29,2025-04,Closed,0,2025-04,ServicerD,SERVICER_FEED,1
LN0000041,12,2023-11,Current,0,2023-11,ServicerC,SERVICER_FEED,1
LN0000042,2,2019-07,Current,0,2019-07,ServicerB,SERVICER_FEED,1
LN0000043,4,2021-02,Closed,0,2021-02,ServicerD,SERVICER_FEED,1
LN0000044,9,2018-10,90DPD,95,2018-10,ServicerB,SERVICER_FEED,1
LN0000045,9,2022-12,90DPD,95,2022-12,ServicerC,SERVICER_FEED,1
LN0000046,3,2021-02,90DPD,95,2021-02,ServicerA,SERVICER_FEED,1
LN0000047,5,2019-04,Closed,0,2019-04,ServicerC,SERVICER_FEED,1
LN0000048,5,2022-07,90DPD,95,2022-07,ServicerB,SERVICER_FEED,1
LN0000049,1,2023-01,30DPD,35,2023-01,ServicerD,SERVICER_FEED,1
LN0000050,21,2020-02,Closed,0,2020-02,ServicerD,SERVICER_FEED,1
LN0000051,15,2023-06,Closed,0,2023-06,ServicerB,SERVICER_FEED,1
LN0000052,20,2023-05,Closed,0,2023-05,ServicerC,SERVICER_FEED,1
LN0000052,8,2022-05,90DPD,95,2022-05,ServicerB,SERVICER_FEED,1
LN0000053,7,2020-05,Default,120,2020-05,ServicerA,SERVICER_FEED,1
LN0000054,7,2021-10,Closed,0,2021-10,ServicerA,SERVICER_FEED,1
LN0000055,9,2022-09,30DPD,35,2022-09,ServicerD,SERVICER_FEED,1
LN0000056,4,2020-09,90DPD,95,2020-09,ServicerB,SERVICER_FEED,1
LN0000057,6,2021-11,90DPD,95,2021-11,ServicerA,SERVICER_FEED,1
LN0000058,6,2018-09,Default,120,2018-09,ServicerD,SERVICER_FEED,1
LN0000058,24,2020-03,Prepaid,0,2020-03,ServicerB,SERVICER_FEED,1
LN0000059,6,2023-02,Default,120,2023-02,ServicerD,SERVICER_FEED,1
LN0000059,12,2023-08,Prepaid,0,2023-08,ServicerD,SERVICER_FEED,1
LN0000060,5,2023-01,90DPD,95,2023-01,ServicerA,SERVICER_FEED,1
LN0000061,8,2019-09,Prepaid,0,2019-09,ServicerB,SERVICER_FEED,1
LN0000062,1,2020-06,Closed,0,2020-06,ServicerD,SERVICER_FEED,1
LN0000063,6,2019-09,Closed,0,2019-09,ServicerA,SERVICER_FEED,1
LN0000064,12,2020-12,60DPD,65,2020-12,ServicerC,SERVICER_FEED,1
LN0000065,4,2019-09,60DPD,65,2019-09,ServicerA,SERVICER_FEED,1
LN0000066,13,2023-05,Prepaid,0,2023-05,ServicerA,SERVICER_FEED,1
LN0000067,9,2022-03,Closed,0,2022-03,ServicerB,SERVICER_FEED,1
LN0000068,9,2022-12,Closed,0,2022-12,ServicerB,SERVICER_FEED,1
LN0000069,14,2023-02,60DPD,65,2023-02,ServicerB,SERVICER_FEED,1
LN0000070,8,2022-04,30DPD,35,2022-04,ServicerA,SERVICER_FEED,1
LN0000071,2,2019-01,Default,120,2019-01,ServicerB,SERVICER_FEED,1
LN0000072,22,2023-12,30DPD,35,2023-12,ServicerD,SERVICER_FEED,1
LN0000073,5,2022-04,Prepaid,0,2022-04,ServicerB,SERVICER_FEED,1
LN0000074,19,2020-03,30DPD,35,2020-03,ServicerC,SERVICER_FEED,1
LN0000075,9,2019-03,90DPD,95,2019-03,ServicerC,SERVICER_FEED,1
LN0000075,16,2019-10,90DPD,95,2019-10,ServicerD,SERVICER_FEED,1
LN0000076,10,2022-08,30DPD,35,2022-08,ServicerB,SERVICER_FEED,1
LN0000077,3,2020-03,90DPD,95,2020-03,ServicerA,SERVICER_FEED,1
LN0000078,4,2019-12,60DPD,65,2019-12,ServicerA,SERVICER_FEED,1
LN0000079,28,2022-04,Default,120,2022-04,ServicerC,SERVICER_FEED,1
LN0000079,41,2023-05,60DPD,65,2023-05,ServicerC,SERVICER_FEED,1
LN0000080,11,2023-04,Closed,0,2023-04,ServicerC,SERVICER_FEED,1
LN0000081,7,2020-05,30DPD,35,2020-05,ServicerD,SERVICER_FEED,1
LN0000082,3,2020-02,Prepaid,0,2020-02,ServicerB,SERVICER_FEED,1
LN0000082,33,2022-08,30DPD,35,2022-08,ServicerD,SERVICER_FEED,1
LN0000083,6,2020-06,30DPD,35,2020-06,ServicerA,SERVICER_FEED,1
LN0000084,15,2019-07,90DPD,95,2019-07,ServicerC,SERVICER_FEED,1
LN0000085,5,2018-08,30DPD,35,2018-08,ServicerA,SERVICER_FEED,1
LN0000086,2,2020-03,30DPD,35,2020-03,ServicerD,SERVICER_FEED,1
LN0000087,9,2018-10,Default,120,2018-10,ServicerD,SERVICER_FEED,1
LN0000088,3,2022-01,Default,120,2022-01,ServicerC,SERVICER_FEED,1
LN0000089,5,2020-07,30DPD,35,2020-07,ServicerA,SERVICER_FEED,1
LN0000090,4,2020-11,90DPD,95,2020-11,ServicerA,SERVICER_FEED,1
LN0000091,5,2020-02,Default,120,2020-02,ServicerC,SERVICER_FEED,1
LN0000092,4,2022-02,90DPD,95,2022-02,ServicerD,SERVICER_FEED,1
LN0000093,7,2020-09,90DPD,95,2020-09,ServicerB,SERVICER_FEED,1
LN0000093,34,2022-12,Default,120,2022-12,ServicerA,SERVICER_FEED,1
LN0000094,3,2018-06,90DPD,95,2018-06,ServicerC,SERVICER_FEED,1
LN0000095,8,2021-02,Current,0,2021-02,ServicerD,SERVICER_FEED,1
LN0000096,8,2019-07,90DPD,95,2019-07,ServicerB,SERVICER_FEED,1
LN0000097,8,2021-08,30DPD,35,2021-08,ServicerC,SERVICER_FEED,1
LN0000098,6,2021-04,Closed,0,2021-04,ServicerB,SERVICER_FEED,1
LN0000099,3,2020-08,60DPD,65,2020-08,ServicerD,SERVICER_FEED,1
LN0000100,2,2020-02,Closed,0,2020-02,ServicerB,SERVICER_FEED,1
LN0000101,2,2021-02,30DPD,35,2021-02,ServicerA,SERVICER_FEED,1
LN0000102,5,2021-10,Current,0,2021-10,ServicerC,SERVICER_FEED,1
LN0000103,5,2022-10,30DPD,35,2022-10,ServicerD,SERVICER_FEED,1
LN0000104,2,2022-12,Closed,0,2022-12,ServicerA,SERVICER_FEED,1
LN0000105,3,2018-09,Current,0,2018-09,ServicerC,SERVICER_FEED,1
LN0000106,22,2023-02,Current,0,2023-02,ServicerA,SERVICER_FEED,1
LN0000107,19,2020-01,30DPD,35,2020-01,ServicerD,SERVICER_FEED,1
LN0000108,19,2021-09,60DPD,65,2021-09,ServicerD,SERVICER_FEED,1
LN0000109,8,2022-05,Default,120,2022-05,ServicerD,SERVICER_FEED,1
LN0000110,2,2020-11,30DPD,35,2020-11,ServicerA,SERVICER_FEED,1
LN0000111,2,2022-03,60DPD,65,2022-03,ServicerD,SERVICER_FEED,1
LN0000112,13,2023-08,Closed,0,2023-08,ServicerB,SERVICER_FEED,1
LN0000113,22,2024-09,Prepaid,0,2024-09,ServicerC,SERVICER_FEED,1
LN0000114,1,2021-06,90DPD,95,2021-06,ServicerD,SERVICER_FEED,1
LN0000115,8,2022-01,Closed,0,2022-01,ServicerB,SERVICER_FEED,1
LN0000116,18,2023-07,Current,0,2023-07,ServicerD,SERVICER_FEED,1
LN0000117,1,2019-04,30DPD,35,2019-04,ServicerB,SERVICER_FEED,1
LN0000118,4,2019-11,Default,120,2019-11,ServicerC,SERVICER_FEED,1
LN0000119,2,2019-11,Default,120,2019-11,ServicerB,SERVICER_FEED,1
LN0000120,15,2022-12,30DPD,35,2022-12,ServicerD,SERVICER_FEED,1
LN0000121,6,2020-04,Closed,0,2020-04,ServicerD,SERVICER_FEED,1
LN0000122,4,2019-01,Current,0,2019-01,ServicerA,SERVICER_FEED,1
LN0000123,29,2024-05,Prepaid,0,2024-05,ServicerD,SERVICER_FEED,1
LN0000124,8,2022-05,30DPD,35,2022-05,ServicerC,SERVICER_FEED,1
LN0000125,10,2021-10,90DPD,95,2021-10,ServicerA,SERVICER_FEED,1
LN0000126,6,2022-11,Closed,0,2022-11,ServicerA,SERVICER_FEED,1
LN0000126,30,2024-11,90DPD,95,2024-11,ServicerD,SERVICER_FEED,1
LN0000127,11,2022-11,90DPD,95,2022-11,ServicerD,SERVICER_FEED,1
LN0000128,5,2022-12,Prepaid,0,2022-12,ServicerB,SERVICER_FEED,1
LN0000129,8,2019-12,60DPD,65,2019-12,ServicerA,SERVICER_FEED,1
LN0000130,1,2018-09,90DPD,95,2018-09,ServicerB,SERVICER_FEED,1
LN0000131,9,2020-06,90DPD,95,2020-06,ServicerD,SERVICER_FEED,1
LN0000132,27,2024-05,Default,120,2024-05,ServicerC,SERVICER_FEED,1
LN0000132,20,2023-10,60DPD,65,2023-10,ServicerB,SERVICER_FEED,1
LN0000133,17,2024-01,Closed,0,2024-01,ServicerA,SERVICER_FEED,1
LN0000134,3,2018-10,Default,120,2018-10,ServicerB,SERVICER_FEED,1
LN0000135,5,2022-09,Prepaid,0,2022-09,ServicerB,SERVICER_FEED,1
LN0000136,6,2020-11,Closed,0,2020-11,ServicerC,SERVICER_FEED,1
LN0000137,11,2023-01,Prepaid,0,2023-01,ServicerA,SERVICER_FEED,1
LN0000138,16,2022-09,Default,120,2022-09,ServicerA,SERVICER_FEED,1
LN0000139,2,2018-06,90DPD,95,2018-06,ServicerC,SERVICER_FEED,1
LN0000140,3,2020-09,90DPD,95,2020-09,ServicerD,SERVICER_FEED,1
LN0000141,2,2018-08,30DPD,35,2018-08,ServicerD,SERVICER_FEED,1
LN0000142,10,2020-07,90DPD,95,2020-07,ServicerB,SERVICER_FEED,1
LN0000143,13,2022-11,30DPD,35,2022-11,ServicerA,SERVICER_FEED,1
LN0000144,7,2022-01,Closed,0,2022-01,ServicerC,SERVICER_FEED,1
LN0000145,3,2021-10,Default,120,2021-10,ServicerB,SERVICER_FEED,1
LN0000146,5,2021-09,Default,120,2021-09,ServicerC,SERVICER_FEED,1
LN0000147,20,2019-09,90DPD,95,2019-09,ServicerC,SERVICER_FEED,1
LN0000148,8,2021-07,Prepaid,0,2021-07,ServicerB,SERVICER_FEED,1
LN0000148,6,2021-05,Default,120,2021-05,ServicerB,SERVICER_FEED,1
LN0000149,4,2020-10,Prepaid,0,2020-10,ServicerD,SERVICER_FEED,1
LN0000150,1,2020-09,30DPD,35,2020-09,ServicerD,SERVICER_FEED,1
LN0000151,28,2021-05,Prepaid,0,2021-05,ServicerB,SERVICER_FEED,1
LN0000152,1,2021-08,60DPD,65,2021-08,ServicerB,SERVICER_FEED,1
LN0000153,4,2021-05,30DPD,35,2021-05,ServicerB,SERVICER_FEED,1
LN0000154,4,2020-05,30DPD,35,2020-05,ServicerA,SERVICER_FEED,1
LN0000155,17,2019-09,Current,0,2019-09,ServicerC,SERVICER_FEED,1
LN0000156,38,2021-07,Prepaid,0,2021-07,ServicerA,SERVICER_FEED,1
LN0000156,10,2019-03,Default,120,2019-03,ServicerA,SERVICER_FEED,1
LN0000157,2,2019-12,90DPD,95,2019-12,ServicerC,SERVICER_FEED,1
LN0000158,6,2021-03,90DPD,95,2021-03,ServicerB,SERVICER_FEED,1
